T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
4.63,12.37,61.94,0.37,23.45,99.11,0.5,22.72,27.9,65.47,15.23,40.07,0.731
3.2,15.95,56.31,0.0,24.83,99.83,0.5,24.39,32.23,65.02,13.6,42.77,0.735
5.55,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,42.69,0.694
2.8,15.95,56.31,0.0,24.83,99.83,0.5,24.39,32.23,65.02,13.6,46.06,0.735
3.55,8.65,53.87,0.0,31.24,99.57,0.46,28.36,35.68,60.9,17.97,45.8,0.707
4.53,14.7,52.14,1.03,33.79,98.99,0.46,25.88,34.47,65.84,17.77,40.06,0.692
2.18,14.7,52.14,1.03,33.79,98.99,0.46,25.88,34.47,65.84,17.77,37.06,0.692
4.62,13.46,45.93,0.1,37.37,98.66,0.43,28.65,38.45,62.86,14.4,46.14,0.667
7.84,18.53,38.67,0.51,42.69,94.42,0.43,42.22,39.99,63.78,16.78,50.48,0.615
18.52,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,58.28,0.531
7.14,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,52.27,0.531
10.58,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,51.48,0.531
13.25,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,75.63,0.531
7.17,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,46.06,0.531
10.68,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,53.66,0.531
13.63,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,76.79,0.531
9.97,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,52.66,0.531
11.69,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,56.88,0.54
15.57,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,58.61,0.531
8.13,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,47.9,0.531
4.6,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,48.04,0.531
0.68,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,31.02,0.806
2.05,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,37.27,0.806
1.62,11.12,73.5,0.07,16.54,99.67,0.5,9.26,19.98,65.73,13.04,38.44,0.8
2.2,10.9,66.19,0.03,20.08,99.79,0.48,14.95,26.15,66.16,12.39,45.85,0.76
5.33,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,54.53,0.54
6.74,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,53.09,0.582
10.17,19.87,39.74,1.09,42.86,98.24,0.52,40.99,42.35,63.54,19.32,47.47,0.652
14.98,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,62.28,0.54
9.54,20.78,32.51,1.52,45.98,98.18,0.45,49.0,48.5,62.83,15.76,52.61,0.581
6.93,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,47.38,0.54
10.95,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,62.61,0.54
11.84,28.62,31.79,0.0,47.38,98.65,0.45,52.11,48.67,62.27,20.72,60.47,0.577
10.24,28.62,31.79,0.0,47.38,98.65,0.45,52.11,48.67,62.27,20.72,55.85,0.577
12.44,27.97,22.23,3.39,48.96,93.2,0.43,63.43,54.33,60.14,20.21,57.02,0.512
7.72,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,45.86,0.606
4.85,14.87,50.54,0.0,33.62,100.0,0.43,29.29,35.72,63.67,16.4,42.87,0.686
3.43,19.44,43.14,0.64,38.66,99.37,0.45,35.73,40.44,65.24,17.01,40.54,0.642
5.36,19.44,43.14,0.64,38.66,99.37,0.45,35.73,40.44,65.24,17.01,48.08,0.642
5.34,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,48.89,0.694
2.37,11.62,62.94,0.0,19.21,99.42,0.43,18.03,28.95,69.89,16.99,40.95,0.747
3.02,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,42.97,0.694
3.1,17.33,52.88,0.18,34.59,99.83,0.48,24.34,34.79,67.42,13.3,44.01,0.707
3.62,13.38,52.54,0.03,28.46,99.45,0.45,25.72,35.51,65.89,17.07,44.12,0.696
2.9,14.73,66.73,0.06,20.07,99.7,0.49,13.95,25.94,68.43,15.62,42.73,0.772
1.21,12.0,65.23,0.46,23.82,99.48,0.48,13.93,25.82,69.7,12.28,34.86,0.759
3.0,9.19,59.98,0.0,26.4,99.87,0.46,16.42,30.81,63.43,16.94,42.31,0.741
2.76,12.37,61.94,0.37,23.45,99.11,0.5,22.72,27.9,65.47,15.23,42.76,0.731
3.58,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,41.45,0.694
1.64,9.42,76.18,0.0,17.99,99.74,0.45,8.86,18.0,70.12,10.99,41.22,0.813
1.77,9.7,76.64,0.0,14.25,100.0,0.53,7.82,17.78,70.4,10.11,39.67,0.83
3.25,20.66,52.03,0.83,30.43,99.11,0.46,31.39,33.11,62.83,15.6,53.21,0.676
3.24,11.58,66.46,0.59,17.34,99.35,0.47,14.79,24.53,65.95,14.17,40.18,0.765
4.07,17.47,53.7,0.11,31.62,99.64,0.45,22.42,32.93,65.34,16.18,42.13,0.697
4.0,12.37,61.94,0.37,23.45,99.11,0.5,22.72,27.9,65.47,15.23,46.19,0.731
5.18,18.6,44.18,0.4,38.5,97.38,0.4,35.64,39.44,63.29,17.21,43.58,0.632
9.43,24.29,28.07,1.16,55.7,99.49,0.41,59.9,50.09,58.86,21.81,50.19,0.562
6.74,19.44,43.14,0.64,38.66,99.37,0.45,35.73,40.44,65.24,17.01,44.48,0.642
12.42,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,56.89,0.624
6.23,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,56.18,0.624
10.71,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,68.27,0.531
9.09,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,50.2,0.546
5.19,19.87,39.74,1.09,42.86,98.24,0.52,40.99,42.35,63.54,19.32,48.52,0.652
14.5,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,73.98,0.531
9.36,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,59.64,0.531
6.97,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,50.0,0.624
11.79,27.97,22.23,3.39,48.96,93.2,0.43,63.43,54.33,60.14,20.21,61.92,0.512
8.13,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,52.34,0.546
8.11,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,54.49,0.624
8.76,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,50.32,0.606
8.03,14.92,48.84,0.09,35.46,98.73,0.45,29.86,36.71,64.88,17.88,50.47,0.684
7.08,16.95,41.06,0.37,36.19,98.06,0.42,40.13,40.88,67.66,18.45,44.36,0.636
5.66,20.26,46.0,0.2,34.43,98.34,0.44,29.15,38.36,64.41,18.72,50.74,0.669
1.73,10.63,76.24,0.0,11.53,99.72,0.47,5.68,17.89,71.98,12.01,35.0,0.823
6.41,14.92,48.84,0.09,35.46,98.73,0.45,29.86,36.71,64.88,17.88,41.45,0.684
5.27,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,48.18,0.624
2.15,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,44.85,0.806
10.13,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,65.71,0.546
7.52,19.36,41.92,1.3,40.75,93.44,0.45,40.93,39.76,62.86,15.05,47.13,0.642
